Gene,XGB_Rank,AE_Rank,Combined_Score
ZNF350,0.0,0.43568888,0.21784444
RP11-950C14.3,0.0,0.43549174,0.21774587
TMX3,0.0,0.43547696,0.21773848
ASXL2,0.0,0.43534926,0.21767463
MCM3,0.0,0.43508974,0.21754487
RP11-545I5.3,0.0,0.4347073,0.21735366
BBX,0.0,0.43457663,0.21728832
EFCAB14,0.0,0.43381298,0.21690649
ICOS,0.0,0.43375614,0.21687807
THBS1,0.0,0.43372482,0.21686241
C16orf80,0.0,0.43352187,0.21676093
OAT,0.0,0.43324888,0.21662444
RCN2,0.0,0.43314144,0.21657072
CDK19,0.0,0.43245357,0.21622679
LDLRAP1,0.0010373766,0.43128577,0.21616158
AC002331.1,0.0,0.43222925,0.21611463
MAPK1IP1L,0.0,0.43198285,0.21599142
TMEM87B,0.0,0.43195084,0.21597542
TCF12,0.0,0.43187094,0.21593547
SMARCD1,0.0,0.43164307,0.21582153
PTGDR,0.0,0.4315912,0.2157956
RNF139,0.0,0.43092474,0.21546237
ARMCX5,0.0,0.43061045,0.21530522
CRTC1,0.0,0.43050706,0.21525353
TCEAL4,0.0,0.4300303,0.21501514
ZNF559,0.0,0.4298229,0.21491145
PIK3R1,0.0,0.42982015,0.21491008
PPA2,0.0,0.42973343,0.21486671
RP11-727F15.9,0.0,0.4294944,0.2147472
WHAMM,0.0,0.42942142,0.21471071
RAD51B,0.0,0.42879373,0.21439686
PASK,0.0,0.42876884,0.21438442
RP11-247L20.4,0.0,0.42813706,0.21406853
CD274,0.0,0.42793286,0.21396643
RP11-535M15.1,0.0,0.42762226,0.21381113
LINC00174,0.0,0.42738488,0.21369244
LINC00886,0.0,0.42710695,0.21355347
URGCP,0.0,0.42708182,0.21354091
ERCC6L2,0.0,0.4270275,0.21351375
RP11-589C21.6,0.0,0.42697445,0.21348722
C16orf52,0.0,0.42692596,0.21346298
ARVCF,0.0,0.42685413,0.21342707
MOCS2,0.0,0.42659953,0.21329977
GLS2,0.0,0.4262894,0.2131447
RP1-266L20.2,0.0,0.42474982,0.21237491
RP11-798G7.6,0.0,0.42467263,0.21233632
UBIAD1,0.0,0.42420885,0.21210442
SMYD4,0.0,0.42391598,0.21195799
TRABD2A,0.0,0.42341563,0.21170782
YEATS2-AS1,0.0,0.42270294,0.21135147
BZRAP1-AS1,0.0,0.42266458,0.21133229
TAF1D,0.0,0.42225873,0.21112937
RAB12,0.0,0.422144,0.211072
CISH,0.0,0.42204186,0.21102093
FBXO33,0.0,0.42201933,0.21100967
CCDC66,0.0,0.42110488,0.21055244
RP13-270P17.3,0.0,0.42072892,0.21036446
IL23A,0.0,0.42072502,0.21036251
RP11-400F19.6,0.0,0.4207015,0.21035075
HBA1,0.0,0.420463,0.2102315
RP11-142C4.6,0.0,0.42026883,0.21013442
YTHDF2,0.00072485144,0.41930664,0.21001574
RP1-28O10.1,0.0,0.41980875,0.20990437
RNF168,0.0,0.41972497,0.20986249
RCL1,0.0,0.41954422,0.20977211
C9orf37,0.0,0.41939032,0.20969516
BOLA1,0.0,0.419226,0.209613
ZNF528,0.0,0.4191847,0.20959236
GCKR,0.0,0.4187717,0.20938586
RBBP6,0.0,0.41814977,0.20907488
ZNF587B,0.0,0.4177625,0.20888124
REXO2,0.0,0.417488,0.208744
PLCL1,0.0,0.41738853,0.20869426
MRPS33,0.0,0.41736218,0.20868109
TOP2B,0.0,0.41727585,0.20863792
PMEPA1,0.0,0.41707563,0.20853782
FAM98A,0.0,0.41704774,0.20852387
C14orf1,0.0,0.41651413,0.20825706
NNT-AS1,0.0,0.4161509,0.20807545
LINC00959,0.0,0.41612002,0.20806001
SUV420H2,0.0,0.4158956,0.2079478
